"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","tostratum","Cohort","Age","Time","stock","sex","A","B","X","toA","toB","toX"
"Psi sB toA gShaktoolikM c1 a1 o2 t2",338,0.00122010170623624,0.000438117896575814,"     ","","ShaktoolikM","1","1","2",2,1,"B","A",0,1,1,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toA gShaktoolikM c1 a2 o3 t3",339,0.000382257161945124,0.000348926679035981,"     ","","ShaktoolikM","1","2","3",3,1,"B","A",0,2,2,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toA gShaktoolikM c2 a0 o2 t2",340,0.00122010170623624,0.000438117896575814,"     ","","ShaktoolikM","2","0","2",2,2,"B","A",1,0,1,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toA gShaktoolikM c2 a1 o3 t3",341,0.000382257161945124,0.000348926679035981,"     ","","ShaktoolikM","2","1","3",3,2,"B","A",1,1,2,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toA gShaktoolikM c3 a0 o3 t3",342,0.000382257161945124,0.000348926679035981,"     ","","ShaktoolikM","3","0","3",3,3,"B","A",2,0,2,"Shaktoolik","M",0,1,0,1,0,0
"Psi sB toX gShaktoolikM c1 a0 o1 t1",343,0.00300078748407959,0.00102127499044571,"     ","","ShaktoolikM","1","0","1",1,1,"B","X",0,0,0,"Shaktoolik","M",0,1,0,0,0,1
"Psi sB toX gShaktoolikM c1 a1 o2 t2",344,0.00110352161527674,0.000488481415468134,"     ","","ShaktoolikM","1","1","2",2,1,"B","X",0,1,1,"Shaktoolik","M",0,1,0,0,0,1
"Psi sB toX gShaktoolikM c1 a2 o3 t3",345,0.000345732706772818,0.00035237242746698,"     ","","ShaktoolikM","1","2","3",3,1,"B","X",0,2,2,"Shaktoolik","M",0,1,0,0,0,1
"Psi sB toX gShaktoolikM c2 a0 o2 t2",346,0.00110352161527674,0.000488481415468134,"     ","","ShaktoolikM","2","0","2",2,2,"B","X",1,0,1,"Shaktoolik","M",0,1,0,0,0,1
"Psi sB toX gShaktoolikM c2 a1 o3 t3",347,0.000345732706772818,0.00035237242746698,"     ","","ShaktoolikM","2","1","3",3,2,"B","X",1,1,2,"Shaktoolik","M",0,1,0,0,0,1
