557,4,A4B,ABB,6a,AB
561,455,A455,AB,NA,AB
564,4,A4,AB,NA,AB
565,4,A4,AB,NA,AB
566,4,A4,AB,NA,AB
572,45,A45,AB,NA,AB
574,455,A455,AB,NA,AB
577,45,A45,AB,NA,AB
580,4,A4,AB,NA,AB
582,4,A4,AB,NA,AB
584,4,A4B,ABB,6b,AB
585,4,A4,AB,NA,AB
587,4,A4,AB,NA,AB
590,4,A4,AB,NA,AB
592,4,A4,AB,NA,AB
726,B,AB,AB,NA,AB
745,4,A4,AB,NA,AB
756,4565,A4565,AB,NA,AB
778,4,A4,AB,NA,AB
779,4,A4,AB,NA,AB
791,4,A4,AB,NA,AB
794,4,A4,AB,NA,AB
797,4,A4,AB,NA,AB
821,45,A45B,ABB,6b,AB
846,4,A4,AB,NA,AB
847,4,A4,AB,NA,AB
851,45,A45,AB,NA,AB
863,45,A45B,ABB,6b,AB
872,4,A4,AB,NA,AB
878,4,A4,AB,NA,AB
879,4,A4,AB,NA,AB
555,NA,A,A,6b,A0B
533,4SS33,A4SS33,ABAA33,NA,AAAY
858,SS32,ASS32,AAA32,NA,AAAY
286,SS45U,ASS45U,AAA4B,NA,AAAB
809,SSS5,ASSS5,AAAA,NA,AAAB
4,S,AS,AA,NA,AA
6,S,AS,AA,NA,AA
51,S,AS,AA,NA,AA
74,S,AS,AA,NA,AA
77,S,AS,AA,NA,AA
81,S,AS,AA,NA,AA
82,TS,ATS,AAA,NA,AA
84,S,AS,AA,NA,AA
86,T,AT,AA,NA,AA
89,SST,ASST,AAAA,NA,AA
91,S,AS,AA,NA,AA
93,S,AS,AA,NA,AA
95,S,AS,AA,NA,AA
96,S,AS,AA,NA,AA
97,S,AS,AA,NA,AA
147,S,AS,AA,NA,AA
150,S,ASA,AAA,S,AA
151,S,AS,AA,NA,AA
153,S,AS,AA,NA,AA
156,T,AT,AA,NA,AA
157,S,AS,AA,NA,AA
158,S,AS,AA,NA,AA
159,S,AS,AA,NA,AA
165,S,AS,AA,NA,AA
167,S,AS,AA,NA,AA
171,T,AT,AA,NA,AA
214,S,AS,AA,NA,AA
221,S,AS,AA,NA,AA
234,S,AS,AA,NA,AA
237,S,AS,AA,NA,AA
264,SST,ASST,AAAA,NA,AA
269,T,AT,AA,NA,AA
381,S,AS,AA,NA,AA
394,T,AT,AA,NA,AA
395,S,AS,AA,NA,AA
541,S,AS,AA,NA,AA
