ID	FirstFound	LastPresent	LastChecked	Fate	Freq	Year	HenAge	Date	Dlek	Sage	NonSage	RoadD500	All1000	NMG_Ht	AvgGrsHt100
159.886N109	12	33	33	0	1	2009	Adult	-1.187038744	-0.756313798	-2.107400595	4.106643282	-0.853394109	-1.721728494	-1.26334061	-0.192621898
160.007N109	11	35	35	0	1	2009	Adult	0.058614714	0.51875869	0.389732276	-0.606579923	-0.853394109	-2.34980748	-0.846575457	-0.132684489
160.128N109	18	41	41	0	1	2009	Adult	-0.190515978	1.404812524	0.645767418	-0.477601962	0.850883801	0.146840341	-0.775130003	-0.374681781
160.176N209	11	36	36	0	1	2009	Adult	0.806006788	1.730662228	-0.722914269	0.318376312	-0.853394109	0.765134254	-0.572701215	-0.199364857
160.267N109	37	37	37	0	1	2009	Adult	-0.190515978	0.877329371	0.45295083	-0.610265007	-0.853394109	0.782743384	-0.215473941	-1.541213622
160.275N209	11	40	40	0	1	2009	Adult	0.307745405	-0.939660249	1.119906571	-0.62869043	-0.853394109	0.786658747	-0.763222427	-0.484816772
160.509N109	11	36	36	0	1	2009	Adult	0.307745405	0.481132494	-1.626939587	6.29189845	2.868155461	0.150755704	1.213435152	-1.057968254
160.546N109	11	39	39	0	1	2009	Adult	-0.937908052	-0.887330835	-0.593316234	-0.267552139	-0.853394109	0.684912659	0	-0.86691776
159.865N209	11	28	30	1	1	2009	Adult	1.138181044	-1.03106635	-1.241306409	0.767956633	0.798706808	-0.154475889	-0.644146669	-0.489312078
159.067N109	11	24	29	1	1	2009	Adult	-0.688777361	-0.836661664	-0.820903027	-0.62869043	-0.853394109	0.579257878	-0.489348184	-0.077991602
159.247N209	13	13	16	1	1	2009	Adult	0.722963224	-1.123414882	-0.931535496	1.434956946	-0.853394109	0.712306863	-0.703684548	-0.77058978
159.247N309	9	9	14	1	1	2009	Adult	1.885573118	-0.994703888	-0.01170554	-0.62869043	-0.853394109	0.786658747	-0.858483033	-0.911870818
